Puntuatze Sailkapena,dortsala,Txirrindularia,Zenbatek?,Puntuak
1,191, POGAČAR Tadej,61,382
2,111, MILAN Jonathan,61,194
3,41, MARTÍNEZ Daniel Felipe,51,173
4,1, THOMAS Geraint,59,124
5,211, TIBERI Antonio,50,121
6,135, MERLIER Tim,55,102
7,2, ARENSMAN Thymen,1,87
8,11, GROVES Kaden,50,80
9,77, STEINHAUSER Georg,0,80
10,61, O'CONNOR Ben,56,77
11,141, BARDET Romain,28,71
12,126, RUBIO Einer,28,68
13,205, PELLIZZARI Giulio,6,60
14,4, GANNA Filippo,47,54
15,64, PARET-PEINTRE Valentin,0,54
16,127, SÁNCHEZ Pelayo,0,54
17,131, ALAPHILIPPE Julian,9,54
18,174, KOOIJ Olav,48,51
19,5, NARVÁEZ Jhonatan,7,45
20,133, HIRT Jan,3,40
21,52, ANIOŁKOWSKI Stanisław,0,39
22,187, STORER Michael,3,37
23,78, VALGREN Michael,0,36
24,156, PLAPP Luke,1,35
25,213, BAUHAUS Phil,14,34
26,33, FORTUNATO Lorenzo,1,33
27,57, THOMAS Benjamin,0,31
28,67, VENDRAME Andrea,0,31
29,124, GAVIRIA Fernando,6,27
30,182, DAINESE Alberto,4,26
31,197, MOLANO Juan Sebastián,1,26
32,158, ZANA Filippo,3,25
33,121, QUINTANA Nairo,6,23
34,37, SCARONI Christian,0,22
35,178, VAN DIJKE Tim,0,22
36,6, SHEFFIELD Magnus,0,17
37,14, HERMANS Quinten,1,17
38,56, GESCHKE Simon,0,17
39,91, GIRMAY Biniam,24,17
40,164, LONARDI Giovanni,0,17
41,167, PIETROBON Andrea,0,17
42,175, TRATNIK Jan,0,17
43,48, VAN POPPEL Danny,3,16
44,168, PIGANZOLI Davide,0,15
45,21, BIERMANS Jenthe,0,13
46,76, PICCOLO Andrea,0,13
47,81, PITHIE Laurence,11,13
48,88, PALENI Enzo,0,13
49,112, BAGIOLI Andrea,0,13
50,45, LIPOWITZ Florian,5,9
51,47, SCHACHMANN Maximilian,4,9
52,63, PARET-PEINTRE Aurélien,12,9
53,104, HOFSTETTER Hugo,0,9
54,142, ANDRESEN Tobias Lund,5,9
55,32, BALLERINI Davide,0,7
56,38, VELASCO Simone,0,7
57,95, MIHKELS Madis,0,7
58,153, EWAN Caleb,0,7
59,155, MEZGEC Luka,0,7
60,181, TRENTIN Matteo,0,7
61,196, MAJKA Rafał,1,5
