Puntuatze Sailkapena,Txirrindularia,,Zenbatek?,Puntuak
1,204,DEL TORO Isaac,4,215
2,61,CARAPAZ Richard,50,156
3,188,YATES Simon,36,139
4,116,PEDERSEN Mads,58,132
5,184,KOOIJ Olav,48,102
6,11,GROVES Kaden,55,95
7,81,BERNAL Egan,27,78
8,228,SCARONI Christian,6,78
9,7,PELLIZZARI Giulio,0,76
10,101,GEE Derek,32,76
11,223,FORTUNATO Lorenzo,12,73
12,57,PRODHOMME Nicolas,0,69
13,33,CARUSO Damiano,0,68
14,87,TARLING Joshua,17,54
15,167,VAN UDEN Casper,0,54
16,181,VAN AERT Wout,54,54
17,206,MCNULTY Brandon,1,44
18,1,ROGLIČ Primož,59,43
19,111,CICCONE Giulio,41,43
20,122,AULAR Orluis,2,43
21,127,RUBIO Einer,11,40
22,112,HOOLE Daan,0,38
23,191,STORER Michael,34,37
24,161,BARDET Romain,6,36
25,38,ZAMBANINI Edoardo,0,32
26,3,DENZ Nico,0,31
27,62,ASGREEN Kasper,0,31
28,118,VERONA Carlos,0,31
29,151,HARPER Chris,0,31
30,156,HEPBURN Michael,0,31
31,201,AYUSO Juan,59,31
32,41,FRETIN Milan,5,30
33,131,PIDCOCK Thomas,46,30
34,175,MAESTRI Mirco,0,30
35,166,POOLE Max,5,25
36,198,ZIJLAARD Maikel,1,24
37,207,VINE Jay,4,24
38,21,VERRE Alessandro,0,23
39,109,STRONG Corbin,1,23
40,183,KELDERMAN Wilco,1,23
41,195,STORK Florian,1,23
42,78,ROCHAS Rémy,0,22
43,182,AFFINI Edoardo,0,22
44,31,TIBERI Antonio,58,21
45,208,YATES Adam,42,20
46,224,KANTER Max,0,20
47,16,PLANCKAERT Edward,0,17
48,88,TURNER Ben,0,17
49,136,MOSCHETTI Matteo,2,17
50,145,HAYTER Ethan,0,17
51,148,MAGNIER Paul,24,17
52,221,ULISSI Diego,0,17
53,46,OLDANI Stefano,0,16
54,205,MAJKA Rafał,0,15
55,86,RIVERA Brandon Smith,0,13
56,142,CATTANEO Mattia,0,13
57,144,GAROFOLI Gianmarco,0,13
58,202,ARRIETA Igor,0,13
59,213,MAGLI Filippo,0,13
60,171,PIGANZOLI Davide,4,10
61,55,GODON Dorian,0,9
62,117,VACEK Mathias,5,9
63,147,LAMPERTI Luke,0,9
64,162,EDMONDSON Alex,0,9
65,174,LONARDI Giovanni,0,9
66,211,FIORELLI Filippo,0,9
67,51,BENNETT Sam,17,7
68,53,DE BONDT Dries,0,7
69,58,VENDRAME Andrea,0,7
70,124,CEPEDA Jefferson Alveiro,1,7
71,158,ZANA Filippo,1,7
72,214,MARCELLUSI Martin,0,7
