Posizioa,Id,lerroa,Porralaria,Puntuak,1,2,3,4,5,6,Mendia,Orokorra,Saria
1,70,1039,Petit Breton,1389,11,11,7,8,8,5,65,400,816.00 €
2,11,154,Xelebrea,1377,10,10,11,10,10,0,15,415,510.00 €
3,90,1339,Kas naranja,1370,11,8,9,9,10,5,15,435,306.00 €
4,50,739,Dani Pedrosa,1363,12,9,8,8,9,4,15,420,204.00 €
5,79,1174,Iban 2,1359,11,8,8,10,9,6,15,430,122.40 €
6,86,1279,Galibier,1348,11,9,9,8,8,3,15,435,81.60 €
7,34,499,Patxizena,1345,11,10,8,8,7,3,65,385,Afaria
8,53,784,Jasa,1340,12,8,9,8,8,5,45,375,
9,74,1099,Alper 1,1337,10,10,11,9,9,1,15,390,
10,102,1519,Piensos Eriz,1313,11,9,11,7,5,6,15,385,
11,10,139,Peru gurekin da,1310,9,11,11,8,8,0,65,350,
12,58,859,Danba 1,1310,11,8,7,7,7,6,45,425,
13,71,1054,El Chimy,1295,10,10,8,8,7,6,65,345,
14,44,649,Yates Brothers,1271,10,9,9,8,9,3,15,380,
15,6,79,Artetako kukue,1269,12,5,8,9,7,8,15,395,
16,95,1414,Abeto Power 3,1267,11,7,9,8,9,6,15,370,
17,56,829,Alma de Cantaro,1262,9,11,11,8,9,4,15,315,
18,43,634,Leñas Eriz,1251,9,11,10,6,4,5,45,355,
19,46,679,Remedios,1251,10,9,7,8,9,5,15,380,
20,69,1024,De vegas,1246,9,11,8,9,9,5,15,330,
21,81,1204,Norber 2,1236,9,10,12,8,8,1,65,275,
22,36,529,Peruano de Lima,1235,8,11,9,8,6,4,65,330,
23,1,4,Munar,1233,9,10,9,9,9,4,15,330,
24,80,1189,Norber 1,1233,10,9,10,8,10,1,15,330,
25,73,1084,Mikel 2,1231,10,8,12,8,9,4,15,305,
26,72,1069,Mikel 1,1220,10,8,11,8,8,4,15,320,
27,96,1429,Abeto power 2,1215,9,10,10,8,9,3,15,315,
28,3,34,Torraldeko Satorra,1211,11,6,8,9,7,8,15,345,
29,59,874,Damba,1211,11,7,8,6,7,6,15,375,
30,78,1159,Iban 1,1211,11,7,10,8,8,4,15,320,
31,61,904,Ra,1207,10,8,7,7,6,7,65,335,
32,26,379,Gabarnie 1,1206,8,11,12,8,5,6,15,295,
33,37,544,Joseba Arriza,1206,9,9,9,7,6,6,15,365,
34,84,1249,Telegraphe,1205,9,10,10,6,5,4,65,310,
35,45,664,Mercedes,1204,9,9,8,7,6,6,15,380,
36,76,1129,Berni 1,1204,9,10,13,8,9,2,15,260,
37,28,409,Gabarnie 3,1197,10,9,9,7,6,6,65,275,
38,35,514,Aixola,1197,11,7,8,7,8,3,15,360,
39,27,394,Gabarnie 2,1193,9,10,11,8,8,3,65,235,
40,12,169,Mitikoa,1190,8,11,10,7,7,0,65,300,
41,92,1369,Joxmi,1186,10,10,10,8,10,1,15,260,
42,100,1489,Egam 1,1186,9,10,11,6,5,6,15,310,
43,4,49,Oh my Good,1179,9,7,9,8,5,6,15,380,
44,40,589,Malenmo 2,1177,9,9,9,6,4,7,65,310,
45,97,1444,Abeto power 5,1177,9,9,10,7,8,4,15,315,
46,48,709,Claudio Chiappucci,1174,9,9,9,7,9,4,65,270,
47,52,769,Gudari,1171,10,8,8,8,9,3,15,320,
48,99,1474,Egam 2,1170,10,8,10,6,6,2,65,295,
49,60,889,Keops,1168,10,8,9,7,7,6,15,310,
50,57,844,Ra 1,1166,10,9,7,7,6,5,15,335,
51,63,934,Van Landa,1163,10,8,9,7,6,3,65,285,
52,29,424,El divo,1160,10,7,11,7,7,4,15,305,
53,15,214,Waca,1156,8,6,8,6,7,4,15,450,
54,16,229,Txiribiton,1156,8,7,10,6,7,3,15,400,
55,62,919,Kaparrak,1155,9,9,9,7,7,6,65,255,
56,9,124,Ez dakit ba,1150,9,9,11,7,5,3,65,255,
57,98,1459,Abeto Poer 4,1142,8,10,11,8,9,1,15,270,
58,75,1114,Alper 2,1132,9,7,9,8,8,4,65,270,
59,77,1144,Berni 2,1130,9,7,9,8,8,3,65,275,
60,14,199,Mole,1128,9,9,8,6,7,5,15,315,
61,38,559,Gorka Beitia,1128,10,7,10,7,6,6,15,285,
62,89,1324,Kas de limon,1123,9,8,11,7,7,7,15,255,
63,65,964,Kukutx,1109,9,7,8,8,7,8,15,295,
64,8,109,Nelo 1,1105,9,8,8,7,7,1,65,280,
65,85,1264,Croix de fer,1098,8,8,11,7,5,4,15,300,
66,2,19,Munar 1,1095,9,9,10,6,7,4,15,255,
67,54,799,Globulos berdes 2,1093,8,8,10,6,4,6,65,270,
68,31,454,Willians anaiak,1092,9,7,9,6,5,8,15,305,
69,91,1354,Kobox,1092,9,8,10,7,7,5,15,255,
70,39,574,Malenmo 1,1091,9,8,9,7,8,6,15,255,
71,30,439,La Diva,1084,9,8,9,8,8,6,15,235,
72,41,604,Malenmo 3,1082,9,8,9,7,7,6,15,255,
73,5,64,Skuas,1081,9,7,7,8,3,8,15,320,
74,93,1384,Resaka Tripala,1081,5,7,10,6,5,6,65,365,
75,55,814,Globulos berdes 1,1079,8,8,10,6,4,4,65,270,
76,7,94,Manduko,1068,8,9,11,6,4,6,15,255,
77,18,259,Nahikari Rivera,1066,6,7,7,6,7,7,15,395,
78,49,724,Sin limites,1056,9,8,11,5,4,5,15,255,
79,64,949,Van Karria,1054,9,7,10,6,6,6,15,255,
80,68,1009,Goitia,1049,9,7,10,6,7,4,15,255,
81,51,754,Ibon Larrañaga,1043,10,7,8,5,4,5,15,285,
82,33,484,Iñaki M,1029,9,7,9,5,7,4,15,265,
83,25,364,Luis Godoy,1023,8,9,10,5,3,3,65,220,
84,42,619,Antuan33,1019,9,7,10,6,6,6,15,220,
85,13,184,Torpedo,1018,9,7,8,5,4,3,65,255,
86,24,349,Montesori,1013,7,9,10,6,3,2,65,235,
87,20,289,Rivii,1010,7,7,7,5,7,5,15,335,
88,21,304,Acedo,1010,6,7,7,4,8,5,15,370,
89,19,274,Irati Garitonandia,1009,6,8,7,5,7,6,15,335,
90,94,1399,Abeto power 1,1004,8,7,10,7,7,3,15,235,
91,23,334,Asier Gorosabel,1003,9,6,5,7,5,5,65,265,
92,67,994,Xabi Casares,992,8,7,10,5,4,6,15,255,
93,22,319,Amaia Garaitonandia,979,6,7,7,5,7,5,15,335,
94,47,694,Agarre,969,7,5,7,5,7,5,15,340,
95,66,979,Axelarrin,968,8,7,8,8,6,5,15,215,
96,17,244,Bebetoz,960,5,8,7,5,8,5,15,315,
97,82,1219,Imanol,943,5,6,10,5,7,1,65,280,
98,88,1309,Alexey,940,5,7,11,5,5,6,15,270,
99,83,1234,Eriko/Gorka,929,6,5,10,5,7,5,15,280,
100,101,1504,Jose Ignacio Burgi,902,4,8,10,5,6,5,15,255,
101,32,469,Jota Bajona,897,5,6,9,3,5,6,15,310,
102,87,1294,Lastadiola,890,5,6,11,6,7,2,15,240,
