Posizioa,Dortsalak,Txirrindularia,Zenbatek,Puntuak
1,134,Remco Evenepoel,47,214
2,124,Enric Mas,22,193
3,167,Mads Pedersen,40,171
4,81,Richard Carapaz,49,153
5,151,Thymen Arensman,14,113
6,174,Juan Ayuso,11,102
7,21,Miguel Ángel López,38,100
8,1,Primoz Roglic,50,89
9,171,Marc Soler,1,84
10,37,Fred Wright,2,83
11,188,Jay Vine,0,75
12,175,João Almeida,42,68
13,86,Carlos Rodríguez,9,67
14,61,Rigoberto Urán,2,66
15,48,Danny van Poppel,2,58
16,172,Pascal Ackermann,39,57
17,44,Jai Hindley,48,56
18,94,Louis Meintjes,0,56
19,11,Ben O'Connor,20,54
20,22,Samuele Battistella,0,53
21,75,Quentin Pacher,0,52
22,51,Jesús Herrada,0,48
23,177,Juan Sebastián Molano,0,44
24,41,Sam Bennett,42,38
25,144,Kaden Groves,7,38
26,52,Bryan Coquard,2,36
27,178,Jan Polanc,0,33
28,185,Robert Stannard,0,30
29,87,Pavel Sivakov,10,25
30,181,Tim Merlier,44,24
31,225,Daniel McLay,2,24
32,45,Wilco Kelderman,4,23
33,108,Daryl Impey,0,23
34,8,Mike Teunissen,1,22
35,71,Thibaut Pinot,7,20
36,4,Robert Gesink,1,17
37,38,Edoardo Zambanini,0,17
38,96,Rein Taaramae,0,17
39,132,Rémi Cavagna,1,17
40,187,Gianni Vermeersch,0,17
41,142,Lawson Craddock,0,16
42,121,Alejandro Valverde,11,15
43,74,Rudy Molard,0,13
44,88,Ben Turner,0,13
45,183,Jimmy Janssens,0,13
46,73,Fabian Lienhard,0,9
47,113,Filippo Conca,0,9
48,117,Harrison Sweeny,0,9
49,153,Marco Brenner,0,9
50,163,Kenny Elissonde,1,9
51,12,Clément Champoussin,1,7
52,46,Jonas Koch,0,7
53,152,Nikias Arndt,0,7
54,221,Élie Gesbert,0,7
55,31,Mikel Landa,16,5
