Sailkapena,Dortsala,Txirrindularia,Zenbatek?,Etapetan,Mendia,Sailkapena,Guztira
1,11,VINGEGAARD Jonas,66,169,30,100,299
2,1,ALMEIDA João,66,109,15,75,199
3,8,VINE Jay,4,85,50,0,135
4,111,PIDCOCK Thomas,50,68,0,65,133
5,41,HINDLEY Jai,35,64,0,60,124
6,71,PHILIPSEN Jasper,64,116,0,0,116
7,45,PELLIZZARI Giulio,45,45,0,50,95
8,27,PEDERSEN Mads,66,93,0,0,93
9,16,KUSS Sepp,7,36,0,45,81
10,91,GALL Felix,50,38,0,40,78
11,228,RICCITELLO Matthew,12,14,0,55,69
12,32,AULAR Orluis,19,64,0,0,64
13,2,AYUSO Juan,61,62,0,0,62
14,227,VERNON Ethan,11,59,0,0,59
15,109,TRÆEN Torstein,0,23,0,35,58
16,62,BERNAL Egan,57,51,0,0,51
17,133,GAUDU David,10,48,0,0,48
18,23,CICCONE Giulio,65,43,0,0,43
19,38,ROMO Javier,2,40,0,0,40
20,68,TURNER Ben,2,40,0,0,40
21,223,FRIGO Marco,2,40,0,0,40
22,7,SOLER Marc,5,38,0,0,38
23,137,ROLLAND Brieuc,0,34,0,0,34
24,121,TEJADA Harold,1,13,0,20,33
25,34,CASTRILLO Pablo,8,32,0,0,32
26,63,GANNA Filippo,23,31,0,0,31
27,14,JORGENSON Matteo,32,0,0,30,30
28,92,ARMIRAIL Bruno,1,26,0,0,26
29,161,GARCÍA PIERNA Raúl,0,26,0,0,26
30,52,LECERF Junior,0,0,0,25,25
31,184,MARIT Arne,0,24,0,0,24
32,51,LANDA Mikel,26,23,0,0,23
33,162,BIERMANS Jenthe,0,22,0,0,22
34,43,DENZ Nico,0,20,0,0,20
35,102,BUITRAGO Santiago,16,13,0,5,18
36,75,PLANCKAERT Edward,0,17,0,0,17
37,123,FORTUNATO Lorenzo,24,17,0,0,17
38,142,BALDERSTONE Abel,0,0,0,15,15
39,13,CAMPENAERTS Victor,0,13,0,0,13
40,86,RYAN Archie,1,13,0,0,13
41,154,FOLDAGER Anders,0,13,0,0,13
42,207,VIVIANI Elia,1,13,0,0,13
43,145,GUARDEÑO Jaume,0,0,0,10,10
44,6,OLIVEIRA Ivo,0,9,0,0,9
45,36,GARCÍA CORTINA Iván,0,9,0,0,9
46,83,MIHKELS Madis,2,9,0,0,9
47,85,QUINN Sean,0,9,0,0,9
48,95,LABROSSE Jordan,0,9,0,0,9
49,131,BRAZ AFONSO Clément,0,9,0,0,9
50,153,DUNBAR Eddie,3,9,0,0,9
51,64,JUNGELS Bob,0,7,0,0,7
52,87,SHAW James,0,7,0,0,7
53,117,GONZÁLEZ David,0,7,0,0,7
54,134,GRUEL Thibaud,0,7,0,0,7
55,138,KÜNG Stefan,1,7,0,0,7
56,198,VERMAERKE Kevin,0,7,0,0,7
