Posizioa,Porreroa,,Puntuak,Saria
1,43,Gamarrakoak 3,1559,488.00 €
2,41,Gamarrakoak,1548,305.00 €
3,35,La diva,1536,183.00 €
4,39,GBK 4,1501,122.00 €
5,3,Txiotxoli,1500,73.20 €
6,53,Van der Kulen,1489,48.80 €
7,44,Gamarrakoak 4,1480,Afaria
8,36,GBK 1,1479,
9,8,Glovulos verdes II,1463,
10,18,Joseba Arri,1460,
11,21,Nere,1460,
12,31,Ni 2,1460,
13,52,Platon,1454,
14,45,Gamarrakoak 5,1446,
15,34,El divo,1443,
16,24,Maddi II,1439,
17,60,Pierricle Fedrigo,1439,
18,14,El lobo Cody,1437,
19,2,Goikoa,1435,
20,20,Baketxe,1435,
21,51,Felipe,1435,
22,22,Xabikas,1434,
23,37,GBK 2,1432,
24,1,Behekoa,1423,
25,11,Damba,1418,
26,46,Gamarrakoak 6,1418,
27,12,Aitor Ubera,1414,
28,47,Kukuts,1400,
29,30,Marakaibo 2,1395,
30,25,Nile I,1394,
31,29,Marakaibo 1,1393,
32,38,GBK 3,1392,
33,42,Gamarrakoak 2,1384,
34,19,Baketxe 1,1381,
35,59,Jerome Coppel,1372,
36,7,Russian Roulette,1367,
37,17,El Tocopillano,1364,
38,48,Abeto power 1,1361,
39,13,A lo bajini,1358,
40,10,Baiba,1357,
41,54,Chiapucci,1353,
42,33,Marakaibo 3,1349,
43,32,Ni 1,1338,
44,9,Glovulos verdes I,1337,
45,16,Bihar-17,1304,
46,27,Katua,1298,
47,61,Eriz egurrak,1286,
48,4,Domenico Modugno,1283,
49,58,Alfredo Binda,1275,
50,50,Abeto power 3,1269,
51,23,Ander Bengoa,1256,
52,26,Leñas Eriz,1241,
53,40,Dekabe,1240,
54,28,Katua 2,1216,
55,55,Tasio,1195,
56,5,Fruta Gar,1194,
57,49,Abeto power 2,1191,
58,6,Kanpaia Jo,1190,
59,56,Martintxo,1155,
60,15,Sangre de toro,1143,
61,57,Lastadiola,1040,
