Posizioa,Porreroa,,Puntuak,1go,2.,3.,4.,5.,6.,Saria
1,57,Peeny Lane,1558,14,13,10,7,7,8,584,00 €
2,45,Gamarrakoak 1,1525,11,13,9,7,6,11,365,00 €
3,25,Dupond,1469,12,13,8,6,6,10,219,00 €
4,55,Malenmo,1461,13,14,9,5,4,6,146,00 €
5,72,Eriz Egurrak,1460,15,14,8,4,4,7,87,60 €
6,51,Gora san fermin 1,1447,12,12,8,6,6,8,58,40 €
7,38,La diva,1431,12,14,8,6,5,9,Afaria
8,65,Iker Ullibarriarana,1426,10,13,8,6,3,8,
9,21,Xiorla team,1417,10,11,7,8,6,11,
10,69,Landismo II,1415,13,14,8,4,5,6,
11,71,Leñas Eriz,1408,12,13,8,6,5,9,
12,17,Baiba,1406,14,14,8,4,4,8,
13,73,Madrugeitor,1397,11,10,9,6,7,6,
14,32,Ferrigato,1388,13,13,7,6,5,7,
15,52,Erik Garcia,1387,13,14,9,4,3,5,
16,19,Jean Francois Bernard,1383,12,13,9,6,5,8,
17,26,Dupondt,1382,13,13,8,5,5,7,
18,46,Lasa,1374,12,14,8,5,3,6,
19,39,Txiklaminoa,1364,12,13,8,4,4,7,
20,40,Kukuts,1364,10,11,8,6,6,9,
21,56,Strawberry filds,1363,11,13,9,7,8,6,
22,36,Androm,1360,12,12,8,6,6,7,
23,41,Cans & Rockers,1353,11,11,7,7,4,9,
24,42,Mikel Azkarate A.,1347,13,12,8,5,4,8,
25,28,Avegatrapaz,1346,12,13,8,5,5,7,
26,66,Budimir,1346,12,12,8,6,3,6,
27,35,Macachin 2,1339,12,12,8,5,5,5,
28,34,Macachin 1,1337,12,13,7,6,5,7,
29,62,Abeto 3,1337,11,12,7,6,5,9,
30,1,B.E.,1334,12,13,7,5,5,7,
31,4,Atake de Enric,1334,12,13,7,5,5,7,
32,49,Porruek,1330,12,13,9,4,5,7,
33,70,Landismo,1327,13,12,8,4,5,5,
34,47,Jokin,1327,11,12,7,6,3,8,
35,63,Kas Naranja,1324,10,14,8,5,6,6,
36,44,Gamarrakoak 2,1322,10,12,7,6,2,8,
37,67,Sergio Herrera,1314,12,13,9,4,4,6,
38,6,Globulos verdes 1,1313,12,13,8,4,5,7,
39,18,Bernard Thevenet,1313,12,13,8,4,5,7,
40,58,Posta,1313,12,13,8,4,5,7,
41,68,Gaizkasares,1308,12,12,9,4,5,5,
42,33,Girotho,1307,12,14,7,4,4,8,
43,22,Xiorla team 1,1305,10,11,9,7,3,8,
44,9,Baketxekuak,1300,11,11,7,6,5,7,
45,14,MiguelBerna,1300,11,11,7,6,5,7,
46,60,Abeto 2,1290,12,12,8,4,5,7,
47,11,Baketxe 1,1287,10,10,7,6,4,7,
48,53,Marlaska,1283,12,14,8,4,2,4,
49,61,Abeto 1,1281,14,13,8,3,2,5,
50,16,Damba,1279,12,14,7,4,5,7,
51,12,Nere,1276,12,12,8,4,5,5,
52,64,Hamalau,1275,13,13,9,2,4,4,
53,27,Tournesol,1273,11,12,8,3,3,7,
54,50,Gora san fermin 2,1272,12,14,6,4,4,9,
55,10,Baketxe ,1268,11,11,7,5,5,5,
56,5,R. Aramaixo,1261,11,10,8,5,3,6,
57,48,Janette,1253,12,12,7,5,2,4,
58,2,Sor presa,1248,11,12,6,5,5,7,
59,20,Raimon Poulidor,1245,10,12,9,4,5,7,
60,13,BernaMiguel,1243,9,12,7,5,5,7,
61,31,Aixola,1231,11,12,8,4,3,7,
62,37,El divo,1229,12,14,8,2,4,6,
63,3,Segur waves,1226,10,12,8,5,3,6,
64,8,globulos verdes 3,1224,10,10,7,5,4,7,
65,23,xiorla team 2,1218,12,10,8,4,2,5,
66,30,Patxizena,1207,12,13,9,2,3,5,
67,7,Globulos verdes 2,1203,10,10,7,5,5,7,
68,59,IBI,1202,12,13,6,4,2,7,
69,24,Gubixok,1200,10,11,8,5,3,7,
70,29,Avegatra1,1166,10,11,7,3,4,7,
71,43,Bergara,1159,8,12,8,4,3,5,
72,15,Rambo,1135,10,11,6,4,1,7,
73,54,Iban Arregi,1075,7,11,6,5,4,6,
