Sailkapena,dortsala,Txirrindularia,Zenbatek?,Etapetan,Mendia,Sailkapena,Guztira
1,1,POGAČAR Tadej,73,255,50,100,405
2,11,VINGEGAARD Jonas,73,167,30,75,272
3,191,ONLEY Oscar,8,75,0,60,135
4,72,LIPOWITZ Florian,56,59,0,65,124
5,81,MILAN Jonathan,69,108,0,0,108
6,31,HEALY Ben,11,71,0,35,106
7,62,ARENSMAN Thymen,5,85,0,20,105
8,151,GALL Felix,30,40,0,55,95
9,17,VAN AERT Wout,54,76,0,0,76
10,106,VAN DER POEL Mathieu,40,71,0,0,71
11,121,O'CONNOR Ben,11,44,0,25,69
12,221,JOHANNESSEN Tobias Halland,17,13,0,50,63
13,24,MERLIER Tim,67,62,0,0,62
14,131,VAUQUELIN Kévin,7,16,0,45,61
15,71,ROGLIČ Primož,55,17,0,40,57
16,211,DE LIE Arnaud,5,52,0,0,52
17,103,GROVES Kaden,6,48,0,0,48
18,18,YATES Simon,1,40,0,5,45
19,21,EVENEPOEL Remco,71,38,0,0,38
20,41,GIRMAY Biniam,54,37,0,0,37
21,172,BALLERINI Davide,0,32,0,0,32
22,7,WELLENS Tim,0,31,0,0,31
23,25,PARET-PEINTRE Valentin,1,31,0,0,31
24,94,GRÉGOIRE Romain,1,31,0,0,31
25,101,PHILIPSEN Jasper,71,31,0,0,31
26,222,ABRAHAMSEN Jonas,0,31,0,0,31
27,186,JEGAT Jordan,0,0,0,30,30
28,228,WÆRENSKJOLD Søren,0,30,0,0,30
29,111,ALAPHILIPPE Julian,5,26,0,0,26
30,117,STORER Michael,1,26,0,0,26
31,15,JORGENSON Matteo,47,25,0,0,25
32,195,ANDRESEN Tobias Lund,0,24,0,0,24
33,14,CAMPENAERTS Victor,0,23,0,0,23
34,73,MEEUS Jordi,16,23,0,0,23
35,84,SIMMONS Quinn,0,23,0,0,23
36,128,SCHMID Mauro,0,23,0,0,23
37,198,VAN DEN BROEK Frank,0,23,0,0,23
38,193,BITTNER Pavel,1,22,0,0,22
39,12,AFFINI Edoardo,0,17,0,0,17
40,23,EENKHOORN Pascal,0,17,0,0,17
41,51,BUITRAGO Santiago,17,17,0,0,17
42,52,BAUHAUS Phil,0,17,0,0,17
43,56,MOHORIČ Matej,0,17,0,0,17
44,65,LAURANCE Axel,0,16,0,0,16
45,118,TRENTIN Matteo,0,16,0,0,16
46,3,NARVÁEZ Jhonatan,1,0,0,15,15
47,55,MARTINEZ Lenny,11,0,15,0,15
48,28,VAN WILDER Ilan,0,13,0,0,13
49,122,DUNBAR Eddie,0,13,0,0,13
50,152,ARMIRAIL Bruno,1,13,0,0,13
51,178,VELASCO Simone,0,13,0,0,13
52,187,TURGIS Anthony,0,13,0,0,13
53,202,ACKERMANN Pascal,1,13,0,0,13
54,176,HIGUITA Sergio,1,0,0,10,10
55,97,PENHOËT Paul,0,9,0,0,9
56,126,PLAPP Luke,0,9,0,0,9
57,148,RUBIO Einer,1,9,0,0,9
58,2,ALMEIDA João,63,7,0,0,7
59,78,VLASOV Aleksandr,0,7,0,0,7
60,98,RUSSO Clément,0,7,0,0,7
61,112,DAINESE Alberto,0,7,0,0,7
62,142,BARTA Will,0,7,0,0,7
63,203,BLACKMORE Joseph,1,7,0,0,7
64,208,STEWART Jake,1,7,0,0,7
