Puntuatze Sailkapena,Dortsala,Txirrindularia,Zenbatek daukate?,Puntuak
1,11, POGAČAR Tadej,90,362
2,1, VINGEGAARD Jonas,89,242
3,71, EVENEPOEL Remco,85,209
4,106, PHILIPSEN Jasper,89,152
5,172, GIRMAY Biniam,7,152
6,111, CARAPAZ Richard,26,111
7,12, ALMEIDA João,24,92
8,132, ACKERMANN Pascal,4,78
9,3, JORGENSON Matteo,57,76
10,8, VAN AERT Wout,77,75
11,74, LANDA Mikel,3,68
12,31, RODRÍGUEZ Carlos,86,65
13,121, DE LIE Arnaud,65,65
14,21, YATES Simon,45,60
15,135, GEE Derek,22,59
16,18, YATES Adam,61,57
17,154, GAVIRIA Fernando,0,49
18,41, CICCONE Giulio,24,43
19,63, BAUHAUS Phil,22,43
20,81, ROGLIČ Primož,89,43
21,205, KRISTOFF Alexander,3,41
22,23, GROENEWEGEN Dylan,62,40
23,123, CAMPENAERTS Victor,0,40
24,161, VAUQUELIN Kévin,0,38
25,64, BUITRAGO Santiago,4,37
26,191, CAVENDISH Mark,8,31
27,217, TURGIS Anthony,0,31
28,151, MAS Enric,11,26
29,36, PIDCOCK Thomas,14,23
30,202, ABRAHAMSEN Jonas,0,23
31,218, VERCHER Mattéo,0,23
32,141, MARTIN Guillaume,0,22
33,53, BENNETT Sam,18,20
34,34, DE PLUS Laurens,0,18
35,13, AYUSO Juan,23,17
36,35, KWIATKOWSKI Michał,0,17
37,97, PACHER Quentin,0,17
38,45, PEDERSEN Mads,84,13
39,46, SKUJIŅŠ Toms,0,13
40,152, ARANBURU Alex,2,13
41,168, RODRÍGUEZ Cristián,0,13
42,51, GALL Felix,21,10
43,62, ARNDT Nikias,0,9
44,115, HEALY Ben,2,9
45,118, VAN DEN BERG Marijn,1,9
46,155, LAZKANO Oier,2,9
47,185, JAKOBSEN Fabio,1,9
48,186, ONLEY Oscar,1,9
49,198, TEJADA Harold,0,9
50,6, LEMMEN Bart,0,7
51,44, GIBBONS Ryan,0,7
52,47, STUYVEN Jasper,0,7
53,157, OLIVEIRA Nelson,0,7
54,196, LUTSENKO Alexey,0,7
